Altium Designer Pick and Place Locations
B:\Applications\hardware\pca10059\trunk\production_files\400250_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       17.09.20
Time:       15:25
Revision:   18117
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"SWDIO","CH","TopLayer","Castellated_Hole_0.9mm_D","33.6550","5.6080","180","Castellated Hole 0.9mm"
"SWDCLK","CH","TopLayer","Castellated_Hole_0.9mm_D","33.6550","-5.6080","360","Castellated Hole 0.9mm"
"P1","Pin Header 2x5, 1.27mm","BottomLayer","HDR_2x5-SMD-1.27mm-NC","23.8760","0.0000","270","Pin Header 2x5, 1.27mm (50mil), SMD, Keying Shroud"
"1.07","Ø1.0mm,SMD","BottomLayer","TP_SMD_Ø1.0mm","15.0000","1.5000","180","1.0mm circular SMD testpad"
"C28","N.C.","BottomLayer","CAPC1005X04L","10.7950","5.5626","180","Not mounted"
"C29","N.C.","BottomLayer","CAPC1005X04L","8.2550","5.5626","180","Not mounted"
"GND2","GND","TopLayer","Castellated_Hole_0.9mm_S","5.7150","-7.6830","0","Castellated Hole 0.9mm"
"GND3","GND","TopLayer","Castellated_Hole_0.9mm_S","5.7150","7.6830","180","Castellated Hole 0.9mm"
"1.02","Ø1.0mm,SMD","BottomLayer","TP_SMD_Ø1.0mm","13.5000","3.0000","180","1.0mm circular SMD testpad"
"1.04","Ø1.0mm,SMD","BottomLayer","TP_SMD_Ø1.0mm","13.5000","1.5000","180","1.0mm circular SMD testpad"
"GND4","GND","BottomLayer","TP_SMD_Ø1.0mm","13.5000","-3.0000","180","1.0mm circular SMD testpad"
"VDD nRF","Ø1.0mm,SMD","BottomLayer","TP_SMD_Ø1.0mm","18.0000","-3.0000","180","1.0mm circular SMD testpad"
"D+","Ø1.0mm,SMD","BottomLayer","TP_SMD_Ø1.0mm","35.0000","0.7500","180","1.0mm circular SMD testpad"
"D-","Ø1.0mm,SMD","BottomLayer","TP_SMD_Ø1.0mm","35.0000","-0.7500","180","1.0mm circular SMD testpad"
"VBUS2","VBUS","BottomLayer","TP_SMD_Ø1.0mm","35.0000","2.2500","180","1.0mm circular SMD testpad"
"UGND","Ø1.0mm,SMD","BottomLayer","TP_SMD_Ø1.0mm","35.0000","-2.2500","180","1.0mm circular SMD testpad"
"0.26","Ø1.0mm,SMD","BottomLayer","TP_SMD_Ø1.0mm","28.0000","-4.0000","180","1.0mm circular SMD testpad"
"0.04","Ø1.0mm,SMD","BottomLayer","TP_SMD_Ø1.0mm","28.0000","-2.5000","180","1.0mm circular SMD testpad"
"C27","100nF","TopLayer","CAPC0603X03L_C","13.5128","4.4577","270","Capacitor, X5R, ±10%"
"Fid2","Fiducial mark","TopLayer","Fiducial","7.1628","-2.1590","0","Fiducial Mark"
"R2","10k","TopLayer","RESC0603X03L_C","14.6050","4.7752","360","Resistor, ±1%, 0.05W"
"SB1","Solderbridge","BottomLayer","Solderbridge","23.9776","4.0640","270","Solderbridge"
